task_index,task_id,task_type,submitted_at,completed_at,campaign_elapsed_sec,winner,status,latency_ms,reassignments,proposals_json,refusals_json,result_pid,result_host,idempotency_replayed
100,cnp_endurance_multivm_20260918T124034Z-task-0000100,parse.synthetic,2026-09-18T12:45:25.517591+00:00,2026-09-18T12:45:25.560326+00:00,20.047,ubuntu-beta,ok,42.496,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.925968}",{},3690,andy-VirtualBox,False
101,cnp_endurance_multivm_20260918T124034Z-task-0000101,route.synthetic,2026-09-18T12:45:25.726255+00:00,2026-09-18T12:45:25.773265+00:00,20.25,ubuntu-beta,ok,46.927,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.98}",{},3690,andy-VirtualBox,False
102,cnp_endurance_multivm_20260918T124034Z-task-0000102,detect.synthetic,2026-09-18T12:45:25.923666+00:00,2026-09-18T12:45:25.958730+00:00,20.438,ubuntu-beta,ok,35.326,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.955995}",{},3690,andy-VirtualBox,False
103,cnp_endurance_multivm_20260918T124034Z-task-0000103,correlate.synthetic,2026-09-18T12:45:26.128530+00:00,2026-09-18T12:45:26.165666+00:00,20.641,ubuntu-beta,ok,36.918,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.938034}",{},3690,andy-VirtualBox,False
104,cnp_endurance_multivm_20260918T124034Z-task-0000104,parse.synthetic,2026-09-18T12:45:26.328026+00:00,2026-09-18T12:45:26.366320+00:00,20.844,ubuntu-beta,ok,38.463,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.926239}",{},3690,andy-VirtualBox,False
105,cnp_endurance_multivm_20260918T124034Z-task-0000105,route.synthetic,2026-09-18T12:45:26.523242+00:00,2026-09-18T12:45:26.574318+00:00,21.047,ubuntu-beta,ok,51.082,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.980265}",{},3690,andy-VirtualBox,False
106,cnp_endurance_multivm_20260918T124034Z-task-0000106,detect.synthetic,2026-09-18T12:45:26.728182+00:00,2026-09-18T12:45:26.773959+00:00,21.25,ubuntu-beta,ok,46.039,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.956267}",{},3690,andy-VirtualBox,False
107,cnp_endurance_multivm_20260918T124034Z-task-0000107,correlate.synthetic,2026-09-18T12:45:26.924532+00:00,2026-09-18T12:45:26.961631+00:00,21.438,ubuntu-beta,ok,37.048,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.938302}",{},3690,andy-VirtualBox,False
108,cnp_endurance_multivm_20260918T124034Z-task-0000108,parse.synthetic,2026-09-18T12:45:27.124340+00:00,2026-09-18T12:45:27.161465+00:00,21.641,ubuntu-beta,ok,37.197,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.92649}",{},3690,andy-VirtualBox,False
109,cnp_endurance_multivm_20260918T124034Z-task-0000109,route.synthetic,2026-09-18T12:45:27.328557+00:00,2026-09-18T12:45:27.373924+00:00,21.86,ubuntu-beta,ok,45.416,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.980509}",{},3690,andy-VirtualBox,False
