run_id,seed,feature,n,prevalence,precision,recall,f1,pr_auc,mcc,fpr,tp,fp,tn,fn,predicted_positive,coefficient
final_csecic_lr_forensic_20260910T235954Z,43,Fwd Pkt Len Mean,20000,0.5,0.03939070534588144,0.0406,0.03998621165115478,0.48033289684334307,-0.949947763661951,0.9901,406,9901,99,9594,10307,0.6960319151318748
final_csecic_lr_forensic_20260910T235954Z,43,Fwd Pkt Len Std,20000,0.5,0.03976335951896033,0.041,0.04037221210181675,0.48033140065649715,-0.9495593227285211,0.9901,410,9901,99,9590,10311,0.851019995217896
final_csecic_lr_forensic_20260910T235954Z,43,Bwd Pkt Len Max,20000,0.5,0.32308904649330183,0.041,0.072765995208093,0.5202021791767555,-0.0920947870534153,0.0859,410,859,9141,9590,1269,0.2662514220631164
final_csecic_lr_forensic_20260910T235954Z,43,Bwd Pkt Len Min,20000,0.5,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,10000,10000,0,0,20000,-4.761735203375121
final_csecic_lr_forensic_20260910T235954Z,43,Bwd Pkt Len Mean,20000,0.5,0.12105107764983762,0.041,0.06125345484425189,0.5105996696911811,-0.3422112146913466,0.2977,410,2977,7023,9590,3387,0.04864160206510823
final_csecic_lr_forensic_20260910T235954Z,43,Bwd Pkt Len Std,20000,0.5,0.04504504504504504,0.041,0.04292744215265417,0.5205,-0.8315596519497374,0.8692,410,8692,1308,9590,9102,0.5595871067763238
final_csecic_lr_forensic_20260910T235954Z,43,Flow Byts/s,20000,0.5,0.49964975482837987,0.9986,0.6660441539385047,0.9736180206511524,-0.026466778104640317,1.0,9986,10000,0,14,19986,-2.8677331305662
final_csecic_lr_forensic_20260910T235954Z,43,Flow Pkts/s,20000,0.5,0.4344850986823503,0.7683,0.5550698984936604,0.3101516719530996,-0.36198038984909037,1.0,7683,10000,0,2317,17683,-0.18960031755070886
final_csecic_lr_forensic_20260910T235954Z,43,Flow IAT Mean,20000,0.5,0.11052631578947368,0.0021,0.0041216879293424925,0.31018220072176583,-0.07628561945613306,0.0169,21,169,9831,9979,190,0.39094373726410275
final_csecic_lr_forensic_20260910T235954Z,43,Flow IAT Std,20000,0.5,0.11170212765957446,0.0021,0.004122497055359246,0.43819487140537233,-0.07565014617009305,0.0167,21,167,9833,9979,188,1.2508996154324976
final_csecic_lr_forensic_20260910T235954Z,43,Flow IAT Max,20000,0.5,0.11052631578947368,0.0021,0.0041216879293424925,0.3101095731678185,-0.07628561945613306,0.0169,21,169,9831,9979,190,0.6286001365843497
final_csecic_lr_forensic_20260910T235954Z,43,Flow IAT Min,20000,0.5,0.0,0.0,0.0,0.8717394147367727,-0.010000500037503125,0.0002,0,2,9998,10000,2,0.07969050070207073
final_csecic_lr_forensic_20260910T235954Z,43,Fwd IAT Tot,20000,0.5,0.11052631578947368,0.0021,0.0041216879293424925,0.31536045289046527,-0.07628561945613306,0.0169,21,169,9831,9979,190,0.27680298830845246
final_csecic_lr_forensic_20260910T235954Z,43,Fwd IAT Mean,20000,0.5,0.11052631578947368,0.0021,0.0041216879293424925,0.3168045259159333,-0.07628561945613306,0.0169,21,169,9831,9979,190,0.5517212459131272
final_csecic_lr_forensic_20260910T235954Z,43,Fwd IAT Std,20000,0.5,0.01943755169561621,0.0188,0.01911346075640504,0.4387172517685913,-0.9301004542747673,0.9484,188,9484,516,9812,9672,0.26951805918416233
final_csecic_lr_forensic_20260910T235954Z,43,Fwd IAT Max,20000,0.5,0.11052631578947368,0.0021,0.0041216879293424925,0.31535278905416897,-0.07628561945613306,0.0169,21,169,9831,9979,190,0.5785277295923033
final_csecic_lr_forensic_20260910T235954Z,43,Fwd IAT Min,20000,0.5,0.0,0.0,0.0,0.7848317336303667,-0.010000500037503125,0.0002,0,2,9998,10000,2,0.4882282286267215
final_csecic_lr_forensic_20260910T235954Z,43,Bwd IAT Tot,20000,0.5,0.08241758241758242,0.0015,0.0029463759575721863,0.4844216554706627,-0.08003463744082517,0.0167,15,167,9833,9985,182,0.3057535233939669
final_csecic_lr_forensic_20260910T235954Z,43,Bwd IAT Mean,20000,0.5,0.08241758241758242,0.0015,0.0029463759575721863,0.4831423650939175,-0.08003463744082517,0.0167,15,167,9833,9985,182,2.268624484916094
final_csecic_lr_forensic_20260910T235954Z,43,Bwd IAT Std,20000,0.5,0.27808471454880296,0.0151,0.028644598311675994,0.4835133544668069,-0.07414454225562242,0.0392,151,392,9608,9849,543,0.9644961882791302
final_csecic_lr_forensic_20260910T235954Z,43,Bwd IAT Max,20000,0.5,0.08241758241758242,0.0015,0.0029463759575721863,0.48432745799667287,-0.08003463744082517,0.0167,15,167,9833,9985,182,0.7810103152049555
