replicate,resampling_unit,n,prevalence,precision,recall,f1,pr_auc,mcc,fpr,tp,fp,tn,fn,predicted_positive,threshold
32,block_id,2000,0.013,0.7878787878787878,1.0,0.8813559322033898,0.8206572413094152,0.8860501630652016,0.0035460992907801418,26,7,1967,0,33,1.2729429339548877
33,block_id,2000,0.016,0.8888888888888888,1.0,0.9411764705882353,0.9486431409685085,0.9418504149573725,0.0020325203252032522,32,4,1964,0,36,1.2729429339548877
34,block_id,2000,0.009,0.6,1.0,0.75,0.7401788785689715,0.7722482151172418,0.006054490413723511,18,12,1970,0,30,1.2729429339548877
35,block_id,2000,0.0165,0.8918918918918919,1.0,0.9428571428571428,0.8660699392964838,0.9434395486161943,0.0020335536349771225,33,4,1963,0,37,1.2729429339548877
36,block_id,2000,0.0155,0.7948717948717948,1.0,0.8857142857142857,0.8529539651559287,0.8897427997701406,0.004062976130015236,31,8,1961,0,39,1.2729429339548877
37,block_id,2000,0.0175,0.7777777777777778,1.0,0.875,0.841074481074481,0.879670177480097,0.005089058524173028,35,10,1955,0,45,1.2729429339548877
38,block_id,2000,0.019,0.8636363636363636,1.0,0.926829268292683,0.903266811161548,0.9278983100746065,0.0030581039755351682,38,6,1956,0,44,1.2729429339548877
39,block_id,2000,0.0125,0.6944444444444444,1.0,0.819672131147541,0.7312251207729469,0.831009417878022,0.005569620253164557,25,11,1964,0,36,1.2729429339548877
40,block_id,2000,0.017,0.85,1.0,0.918918918918919,0.9154930132972728,0.9205465226185954,0.003051881993896236,34,6,1960,0,40,1.2729429339548877
41,block_id,2000,0.0145,0.8529411764705882,1.0,0.9206349206349206,0.8737745098039215,0.9223759805459846,0.0025367833587011668,29,5,1966,0,34,1.2729429339548877
42,block_id,2000,0.012,0.8888888888888888,1.0,0.9411764705882353,0.908449150859174,0.9420930746075844,0.0015182186234817814,24,3,1973,0,27,1.2729429339548877
43,block_id,2000,0.0095,0.76,1.0,0.8636363636363636,0.7150885587173677,0.8704585758417434,0.003028773346794548,19,6,1975,0,25,1.2729429339548877
44,block_id,2000,0.0125,0.78125,1.0,0.8771929824561403,0.7999184726522188,0.8823157103090865,0.0035443037974683543,25,7,1968,0,32,1.2729429339548877
45,block_id,2000,0.0105,0.6,1.0,0.75,0.6498063340168603,0.771851949557933,0.007074279939363315,21,14,1965,0,35,1.2729429339548877
46,block_id,2000,0.01,0.6666666666666666,1.0,0.8,0.8157057616296747,0.8144321109212622,0.005050505050505051,20,10,1970,0,30,1.2729429339548877
47,block_id,2000,0.0155,0.7948717948717948,1.0,0.8857142857142857,0.8641529111374833,0.8897427997701406,0.004062976130015236,31,8,1961,0,39,1.2729429339548877
48,block_id,2000,0.0115,0.71875,1.0,0.8363636363636363,0.6880316635160679,0.8458593245718218,0.004552352048558422,23,9,1968,0,32,1.2729429339548877
49,block_id,2000,0.016,0.8205128205128205,1.0,0.9014084507042254,0.8786842573849152,0.9042092289893151,0.003556910569105691,32,7,1961,0,39,1.2729429339548877
50,block_id,2000,0.012,0.8275862068965517,1.0,0.9056603773584906,0.8107576585010663,0.9085659647177378,0.0025303643724696357,24,5,1971,0,29,1.2729429339548877
51,block_id,2000,0.018,0.8181818181818182,1.0,0.9,0.8386193065185806,0.902689925732056,0.004073319755600814,36,8,1956,0,44,1.2729429339548877
52,block_id,2000,0.0155,0.8157894736842105,1.0,0.8985507246376812,0.8868677069016627,0.9016037140397941,0.0035551041137633316,31,7,1962,0,38,1.2729429339548877
53,block_id,2000,0.0175,0.7954545454545454,1.0,0.8860759493670886,0.8357068312950666,0.889837761725654,0.004580152671755725,35,9,1956,0,44,1.2729429339548877
54,block_id,2000,0.015,0.8823529411764706,1.0,0.9375,0.9215880027900488,0.9383823110014797,0.0020304568527918783,30,4,1966,0,34,1.2729429339548877
55,block_id,2000,0.012,0.8275862068965517,1.0,0.9056603773584906,0.8655800571936253,0.9085659647177378,0.0025303643724696357,24,5,1971,0,29,1.2729429339548877
56,block_id,2000,0.0185,0.925,1.0,0.961038961038961,0.9173915512150805,0.9610339991006598,0.0015282730514518594,37,3,1960,0,40,1.2729429339548877
57,block_id,2000,0.0135,0.8181818181818182,1.0,0.9,0.8431805958250747,0.9031576179720688,0.0030410542321338066,27,6,1967,0,33,1.2729429339548877
58,block_id,2000,0.013,0.8387096774193549,1.0,0.9122807017543859,0.8838012403312296,0.9146503627830495,0.0025329280648429585,26,5,1969,0,31,1.2729429339548877
59,block_id,2000,0.0125,0.7142857142857143,1.0,0.8333333333333334,0.8009225991399904,0.8430119084317169,0.005063291139240506,25,10,1965,0,35,1.2729429339548877
60,block_id,2000,0.0125,0.7575757575757576,1.0,0.8620689655172413,0.8371276491624318,0.868623679322207,0.004050632911392405,25,8,1967,0,33,1.2729429339548877
61,block_id,2000,0.009,0.8571428571428571,1.0,0.9230769230769231,0.9276963776963777,0.9251191633189296,0.0015136226034308778,18,3,1979,0,21,1.2729429339548877
62,block_id,2000,0.015,0.8108108108108109,1.0,0.8955223880597015,0.8611405476622866,0.898849129258262,0.003553299492385787,30,7,1963,0,37,1.2729429339548877
63,block_id,2000,0.017,0.8292682926829268,1.0,0.9066666666666666,0.8319647227614145,0.9090190640926923,0.003560528992878942,34,7,1959,0,41,1.2729429339548877
64,block_id,2000,0.0155,0.9117647058823529,1.0,0.9538461538461539,0.937935445825189,0.9541360105057254,0.0015236160487557136,31,3,1966,0,34,1.2729429339548877
65,block_id,2000,0.0125,0.78125,1.0,0.8771929824561403,0.8069999999999999,0.8823157103090865,0.0035443037974683543,25,7,1968,0,32,1.2729429339548877
66,block_id,2000,0.0135,0.7297297297297297,1.0,0.84375,0.7522467922467923,0.8520746154288459,0.00506842372022301,27,10,1963,0,37,1.2729429339548877
67,block_id,2000,0.0125,0.8333333333333334,1.0,0.9090909090909091,0.8983113553113552,0.9117146640764221,0.002531645569620253,25,5,1970,0,30,1.2729429339548877
68,block_id,2000,0.0155,0.7948717948717948,1.0,0.8857142857142857,0.8389054099366345,0.8897427997701406,0.004062976130015236,31,8,1961,0,39,1.2729429339548877
69,block_id,2000,0.011,0.8461538461538461,1.0,0.9166666666666666,0.8882478632478632,0.9189356430295749,0.0020222446916076846,22,4,1974,0,26,1.2729429339548877
70,block_id,2000,0.018,0.7659574468085106,1.0,0.8674698795180723,0.7732831635827156,0.872735619250448,0.00560081466395112,36,11,1953,0,47,1.2729429339548877
71,block_id,2000,0.0165,0.9166666666666666,1.0,0.9565217391304348,0.9461314733264241,0.9566967118907747,0.001525165226232842,33,3,1964,0,36,1.2729429339548877
72,block_id,2000,0.011,0.7586206896551724,1.0,0.8627450980392157,0.8656573751277596,0.8694457921547635,0.003538928210313448,22,7,1971,0,29,1.2729429339548877
